ID	CREATED TIME	AGENT	CAT	SUJECT	CONTENT	
60	2017-12-07T22:04:03.000+01:00	CLIE	Procuration	acces compte julien lebresne	bonjour merci de me permettre un acces sur le compte de julien. je sais qu'il a NN ans mais malgre tout cela risque d'etre un peu dangereux a long terme car julien etant etudiant, il faut que je puisse avoir acces a son compte pour faire des virements rapidement. je lui ai demande de faire une procuration a mon nom je compte sur vous pour faire le necessaire bien cordialement XXXXXXX XXXXX	
61	2017-12-17T21:28:35.000+01:00	CLIE	Procuration	re acces compte julien lebresne	bonjour je vous renvoie le message adresse il y a quelques jours et qui est reste sans reponse merci de me permettre un acces sur le compte de julien. je sais qu'il a NN ans mais malgre tout cela risque d'etre un peu dangereux a long terme car julien etant etudiant, il faut que je puisse avoir acces a son compte pour faire des virements rapidement je lui ai demande de faire une demande de procuration a mon nom je compte sur vous pour faire le necessaire bien cordialement XXXXXXX XXXXX	
62	2017-12-22T05:51:58.000+01:00	CLIE	Prélèvement	opposition	bonjour, dans le cas ou sfr mettrait un prelevement en place pouvez vous mettre une opposition. merci d'avance cordialement XXXXXXXX XXXXXX	 dans le cas ou sfr mettrait un prelevement en place pouvez vous mettre une opposition.
63	2017-12-15T22:16:09.000+01:00	CLIE	Carte bancaire	carte debit differe encore active.	bonjour je viens de m’appercevoir qu’il va y avoir un paiement differe sur un article que j’ai achete sur internet il y a quelques jours, ainsi que sur deux autres articles. comment est ce possible sachant que j’ai ma nouvelle carte a debit immediat. cordialement. XXXXXXXXXX	
64	2017-12-04T14:23:58.000+01:00	CLIE	Besoin de l’explication d’information, carte de bancaire	nouvelle carte de paiement	bonjour, je vous confirme que j'ai bien recu la carte qui m'a ete expediee, et vous remercie de bien vouloir l'activer. par ailleurs, pouvez-vous m'expliquer pourquoi elle n'a pas une validite de N ans, mais N an et NN mois ? en effet auparavant la carte durait jusqu'a la fin novembre, et cette derniere n'affiche que fin octobre. cordialement XXXX-XXXXXX XXXXXX	pouvez-vous m'expliquer pourquoi elle n'a pas une validite de N ans, mais N an et NN mois ?
67	2017-12-14T22:08:55.000+01:00	CLIE	Commission d’intervention	commission d'intervention	bonjour, je ne comprends pas a quoi correspond la commission d'intervention de NN euros ? vous remerciant pour votre retour. cordialement XXXXXXXXX XXXXXXXX	 je ne comprends pas a quoi correspond la commission d'intervention de NN euros ?
67	2017-12-24T14:52:38.000+01:00	CLIE	Rendez-vous	re : re: commission d'intervention	bonjour, c'est note je vais prendre rendez vous afin de voir si je peux changer l'autorisation de decouvert cependant je souhaiterai comme il l'etait fait auparavant etre rembourser de la commission d'intervention. vous remerciant par avance de votre geste. cordialement, XXXXXXXXX XXXXXXXX	
68	2017-12-30T17:07:36.000+01:00	CLIE	Virement, carte bancaire	carte bancaire debitee N fois	bonjour mme XXXXXXX je viens vers vous car j' ai le meme virement bancaire qui a ete prelevee N fois. le NN et le NN decembre d' un montant de NNN€.un versement effectue le NN decembre.je compte sur vous pour voir d' ou viens le probleme. dans l' attente sinceres salutations. XXXXXXX tel : NNNNNNNNNN	
70	2017-12-05T17:53:03.000+01:00	CLIE	Carte bancaire	perte carte	bonjour mme le XXX je viens de me rendre compte ce mardi soir que je n'ai plus ma carte gold sur moi. ma derniere utilisation remonte a samedi dernier vers NNhNN ou j'ai depose NNN € a l'agence de penvenan peut-etre l'ai je oublie au distributeur? merci de verifier et de me contacter dans la matinee au PHONEcordialement	 je viens de me rendre compte ce mardi soir que je n'ai plus ma carte gold sur moi. ma derniere utilisation remonte a samedi dernier vers NNhNN ou j'ai depose NNN € a l'agence de penvenan peut-etre l'ai je oublie au distributeur? merci de verifier et de me contacter dans la matinee au PHONE
71	2017-12-15T14:04:57.000+01:00	CLIE	Carte bancaire	carte de credit	bonjour mr XXXXX, je viens de m apercevoir ce midi que je ne trouvais plus ma carte de credit. je sais que je l'ai utilise pour la derniere fois hier soir a NNhNN a la XXXXXXXXXie tt forn pour N.NN€ je crois et juste avant vers NNhNN a la station essence du centre leclerc pour NN.NN€ (je crois) pourriez-vous me dire si il y a eu des mouvements depuis ? je vais regarder a la maison en rentrant et si je ne la retrouve pas je vous XXXai un mail ce soir pour faire opposition et lancer l'edition d'une nouvelle carte. merci d'avance cordialement	pourriez-vous me dire si il y a eu des mouvements depuis ?
72	2017-12-03T11:06:13.000+01:00	CLIE	Compte de chèque	question	"bonjour, pouvez-vous me preciser a quoi correspond le montant de NNN,NN qui apparait au niveau du compte cheque N dans les prelevements ""echeance de pret"" a venir. par avance merci, pp"	 pouvez-vous me preciser a quoi correspond le montant de NNN,NN qui apparait au niveau du compte cheque N dans les prelevements ""echeance de pret"" a venir.
72	2017-12-06T15:01:24.000+01:00	CLIE	Compte de chèque	re : re: question	bonjour, comment choisissez vous le compte cheque sur lequel les echeances des prets sont debitees ? nous souhaitons que les echeances soient debitees du compte principal (compte cheque N) plutot qu'un compte secondaire (compte cheque N dans le cas present). le probleme s'etait deja presente pour l'assurance de la clio. merci de faire le necessaire, cordialement, pp 	comment choisissez vous le compte cheque sur lequel les echeances des prets sont debitees ?
73	2017-12-08T12:14:03.000+01:00	CLIE	Frais, Rendez-vous	negociation pret	bonjour mme XXXXXX, j'ai discute avec XXXXXXXX et nous allons accepter la renegociation du pret. vous pouvez me contacter la semaine prochaine pour les modalites (reglement des frais...) et voir quand nous pourrions fixer un rdv pour la signature. je travail ce weekend mais je suis en repos la semaine prochaine, donc je serais joignable. cordialement, bon weekend, mme XXXXXX et mr XXXXXXXX	vous pouvez me contacter la semaine prochaine pour les modalites (reglement des frais...) et voir quand nous pourrions fixer un rdv pour la signature. 
74	2017-12-05T17:16:55.000+01:00	CLIE	Virement	parts sociales	bonjour, je ne vois pas encore le versement de NNNN euros , equivalent aux parts sociales qu'en est il exactement? cordialement mt XXXXXXX	je ne vois pas encore le versement de NNNN euros , equivalent aux parts sociales qu'en est il exactement? 
74	2017-12-07T18:07:41.000+01:00	CLIE	Informations	re : re: parts sociales	merci pour l'information cordialement	
75	2017-12-09T05:10:49.000+01:00	CLIE	Compte de chèque	cheques a payer	bonjour ,monsieur le XXXXX a eu son cheque de salaire hier soir je vais le deposer dans la journee vous pouvez regler les cheques .merci le XXXXX XXXXXX .cordialement	
76	2017-12-05T09:47:07.000+01:00	CLIE	Immobilier	suite emprunt immobilier dinard	bonjour monsieur , je viens aux nouvelles . salutations XXXXXX XXXXX	
77	2017-12-11T15:51:49.000+01:00	CLIE	Carte bancaire	certificat provisoire d'immatriculation	bonjour monsieur XXXX, je vous envoie le certificat provisoire d' immatriculation (es-NNN-ph) pour le vehicule wolkswagen polo de notre fils XXXXXX-alexis. n° contratCONTRACT_NUMBERdans l' attente de la reception definitive de la carte verte, merci cordialement, d.XXXXXXX	
78	2017-12-28T09:31:57.000+01:00	CLIE	Fonds de compte	decouvert	bonjour monsieur XXXX serait t il possible d augmenter mon decouvert de NNN euros jusqu au NN decembre NNNN jour du versement de mon salaire ? bien a vous XXXX XXXXXX	serait t il possible d augmenter mon decouvert de NNN euros jusqu au NN decembre NNNN jour du versement de mon salaire ? 
79	2017-12-08T14:50:58.000+01:00	CLIE	Livret, Compte jointe	infos	bonjour madame XXXXXX concernant notre discussion telephonique. je ne souhaite pas pour l'instant ouvrir le meme compte que mon mari car nous allons avoir des depenses ( nous allons faire refaire notre jardin) donc nous aurons un peu moins d'argent sur nos livrets dans quelques mois. merci et bonne journee XXXXX XXXXXXXX	
80	2017-12-21T12:09:50.000+01:00	CLIE	Mobilite bancaire	infos mobilite bancaire	bonjour madame XXXXXX j'ai recu un sms concernant ma mobilite bancaire qui a ete accepte. tout d'abord merci pour cela. pouvez vous me dire si a ce jour les deux compte lcl et boursorama de mon mari ont ete ferme ? j'en profite pour souhaiter un joyeux anniversaire a votre fille qui je crois aura un an demain ( XXXXXX lui fetera ses N ans demain egalement). joyeuses fetes a vous XXXXX XXXXXXXX	pouvez vous me dire si a ce jour les deux compte lcl et boursorama de mon mari ont ete ferme ?
81	2017-12-11T15:08:45.000+01:00	CLIE	Assurance	infos	bonjour madame XXXXXX est il possible d avoir une vision depuis mon compte internet sur les assurances vie de mes enfants? merci par avance XXXXX XXXXXXXX	est il possible d avoir une vision depuis mon compte internet sur les assurances vie de mes enfants? 
82	2017-12-14T12:45:08.000+01:00	CLIE	Mobilite bancaire	mobilite bancaire	bonjour madame XXXXXX je viens de voir le mail concernant le refus de la banque de depart pour la mobilite bancaire. de quelle banque s agit -il ? boursorama ou le lcl? quel est le probleme et que pouvons nous faire ? merci par avance bonne journee XXXXX XXXXXXXX	 je viens de voir le mail concernant le refus de la banque de depart pour la mobilite bancaire. de quelle banque s agit -il ? boursorama ou le lcl? quel est le probleme et que pouvons nous faire ?
83	2017-12-15T11:00:17.000+01:00	CLIE	Changement d’adresse	changement d’adresse	bonjour, je souhaiterais signaler mon changement d’adresse. ci joint une facture de la saur. cordialement XXXXXXXXX XXXXXXXX	
83	2017-12-19T09:21:41.000+01:00	CLIE	Changement d’adresse	changement d’adresse	bonjour, j’espere que vous avez bien recu mon message concernant mon changement d’adresse avec une facture de la saur pour en justifier. merci d’effectuer ce changement aupres de ma mutuelle qui m’envoie des courrier a mon ancienne adresse. cordialement. XXXXXXXXX XXXXXXXX NN b rue du general de gaulle NNNNN pipriac	
84	2017-12-14T18:19:03.000+01:00	CLIE	Virement	probleme de virement	bonjour madame XXXXXXX je souhaite faire un virement de mon compte pro vers mon compte perso et je n'ai plus aucun libelle de XXXeficiaires . jusqu'a present je n'ai eu aucun probleme . est ce du a la nouvelle presentation du site ? dois-je les entrer moi meme ? merci pour votre reponse cordialement XXXXXXX XXXXXXX	 je souhaite faire un virement de mon compte pro vers mon compte perso et je n'ai plus aucun libelle de XXXeficiaires . jusqu'a present je n'ai eu aucun probleme . est ce du a la nouvelle presentation du site ? dois-je les entrer moi meme ?
85	2017-12-15T09:15:01.000+01:00	CLIE	Frais	frais	bonjour, je viens de voir NN.NN € de frais qui vienne de passer !!!! je ne vois pas comment remonter si je me prive d'un cote et on me facture de l'autre surtout que vous aviez ecrit dans un de vos mails ci-dessous voir pour faire un geste en annulant les frais du mois de novembre !!!! si vous pouviez examiner ca de plus pres car la les frais prennent la somme qui me permettait de rentrer de mon trajet retour le N janvier NNNN sinon il va falloir mettre jusqu'au N janvier un decouvert autorise a -NNN € pour me permettre de faire l'escence pour rentrer !!!! merci cordialement	si vous pouviez examiner ca de plus pres car la les frais prennent la somme qui me permettait de rentrer de mon trajet retour le N janvier NNNN sinon il va falloir mettre jusqu'au N janvier un decouvert autorise a -NNN € pour me permettre de faire l'escence pour rentrer 
85	2017-12-30T10:30:11.000+01:00	CLIE	Frais	re : re: frais	je vous remercie pour le geste pour les frais mais comme vous avez redesceu le decouvert a NNN € du coup je n'ai plus de marge pour les chq fait NN€ d'essence et NN€ environs de courses.....si pour pouviez juste jusqu'au N janvier laisser l'autorisation a -NNN €....merci.... salutations	
86	2017-12-13T12:28:18.000+01:00	CLIE	Virement	virement caf	bonjour, je vous informe par la presente un virement de la caf va etre effectue le NN/NN/NNNN de NNN.NN € ainsi qu'incessamment sous peu les bourses trimestrielles de NNN € cela pour ne pas faire barrage au dernier chq de cotisations sportive de NNN €....merci d'en prendre compte....	
87	2017-12-23T12:11:03.000+01:00	CLIE	Virement, Sécurisation du compte	code virtualis	bonjour, je suis actuellement au vietnam et je voulais faire un virement avant la fin de l’annee civile. or mon telephone ne fonctionne pas, je ne peux donc pas recevoir le code’ d’autorisation d’emission de virtualis. pouvez-vous trouver une solution pour que je puisse’ avoir un code, peut etre par le biais de ma messagerie internet ? je vous remercie d’avance pour votre aide. cordialement XXXX XXXXXXX	ouvez-vous trouver une solution pour que je puisse’ avoir un code, peut etre par le biais de ma messagerie internet ?
87	2017-12-27T07:07:55.000+01:00	CLIE	Contact, Virement	re: re: code virtualis	bonjour monsieur, je suis tres ennuye, je ne peux pas faire de reservation pour reserver l’avion. a cause de,nos problemes de telephone. l’hotel ou nous sommes ne sont pas tres arrangeant. puis je vous contacter maintenant par whatsapp, facetime ou skype ? whatsapp +NNN NNN NNNNNN facetime MAIL skype enorica merci d’avance pour votre aide. XXXX XXXXXXX	puis je vous contacter maintenant par whatsapp, facetime ou skype ?
87	2017-12-27T09:53:09.000+01:00	CLIE	Informations	re: re: re: re: code virtualis	merci beaucoup +NN NNN NNNNNNN ou +NN NNNN NNNNNNN j’attends votre appel a la reception. merci cordialement XXXX XXXXXXX	
87	2017-12-27T10:25:47.000+01:00	CLIE	Téléphone	re: re: re: re: re: code virtualis	rebonjour monsieur XXXXXX, desole le numero etait incorrect le voici : +NN NNN NNN NNN merci cordialement XXXX XXXXXXX	
87	2017-12-27T10:46:32.000+01:00	CLIE	Téléphone	re: re: re: re: re: re: code virtualis	rebonjour monsieur XXXXXX, desole le numero etait incorrect le voici : +NN NNN NNN NNN merci cordialement XXXX XXXXXXX	
87	2017-12-27T11:29:47.000+01:00	CLIE	Virement, Sécurisation du compte	re: re: re: re: re: re: re: code virtualis	monsieur XXXXXX, suite a notre conversation telephonique de ce jour, je vous remercie de bien vouloir annuler la securisation des achats par virtualis par le biais du code sd secure. a la place merci d’autoriser la validation des paiements par la saisie systematique de ma date de naissance et ce jusqu’au N XXXXXXX NNNN. je vous remercie infiniment pour votre reactivite et votre professionnalisme. cordialement XXXX XXXXXXX	je vous remercie infiniment pour votre reactivite et votre professionnalisme.
87	2017-12-27T12:32:44.000+01:00	CLIE	Fonds de compte	re : re: re: re: re: re: re: re: re: code virtualis	monsieur XXXXXX, effectivement j’ai reserve un vol pour une valeur de’ NNN euros. mais il doit subsister un plafond qui necessite l’utilisation d’un code par sms, pouvez vous augmenter ce’ plafond pour la meme duree jusqu’a NNNN euros ou NNN si NNNN n’est pas possible avec une date butoir au N XXXXXXX egalement. de facon a ce’ que je puisse’ valider la depense par la saisie de ma date’ de naissance merci d’avance cordialement XXXX XXXXXXX 	
87	2017-12-27T16:07:21.000+01:00	CLIE	Sécurisation du compte	re: re: re : re: re: re: re: re: re: re: re: code virtualis	monsieur XXXXXX, je voulais obtenir un numero virtualis pour NNNN euros, mais sur l’application on me demande d’aller sur le site et sur le site on m’indique qu’il faudra un code secure... cordialement XXXX XXXXXXX	
87	2017-12-27T16:07:27.000+01:00	CLIE	Sécurisation du compte	re: re: re : re: re: re: re: re: re: re: re: code virtualis	monsieur XXXXXX, je voulais obtenir un numero virtualis pour NNNN euros, mais sur l’application on me demande d’aller sur le site et sur le site on m’indique qu’il faudra un code secure... cordialement XXXX XXXXXXX	
87	2017-12-28T05:44:34.000+01:00	CLIE	Déblocage, Sécurisation du compte	re: re: re: re: re : re: re: re: re: re: re: re: re: code virtualis	bonjour monsieur XXXXXX, j’ai essaye avec ma date de naissance aux format ddmmaaaa et ddmmaa mais ca ne fonctionne pas meme pour une somme de NN€. je ne peux plus non plus generer des numeros virtuels a partir de l’application. je vous autorise donc a supprimer le blocage de l’utilisation de mon numero de carte pour des achats sur internet et ce jusqu’au N XXXXXXX. merci de m’assurer qu’il n’y aura pas de validation par code secure via sms, car depuis j’ai eu orange pour mes problemes de telephone, et comme ils n’ont pas d’accord avec le vietnam, l’international ne fonctionnera pas... je vous remercie d’avance pour votre aide. bonne journee. cordialement XXXX XXXXXXX	
87	2017-12-28T05:44:38.000+01:00	CLIE	Sécurisation du compte	re: re: re: re: re : re: re: re: re: re: re: re: re: code virtualis	bonjour monsieur XXXXXX, j’ai essaye avec ma date de naissance aux format ddmmaaaa et ddmmaa mais ca ne fonctionne pas meme pour une somme de NN€. je ne peux plus non plus generer des numeros virtuels a partir de l’application. je vous autorise donc a supprimer le blocage de l’utilisation de mon numero de carte pour des achats sur internet et ce jusqu’au N XXXXXXX. merci de m’assurer qu’il n’y aura pas de validation par code secure via sms, car depuis j’ai eu orange pour mes problemes de telephone, et comme ils n’ont pas d’accord avec le vietnam, l’international ne fonctionnera pas... je vous remercie d’avance pour votre aide. bonne journee. cordialement XXXX XXXXXXX	
88	2017-12-03T11:58:34.000+01:00	CLIE	Remboursement	annule et remplace message precedent	bonjour madame le XXXX, le remboursement integral du credit partnair lagarde dont je vous parlais dans mon precedent message a fini par se faire a partir de l'application cmb donc vous n'avez pas besoin de le faire de votre cote. sur le site, ca n'avait cependant pas fonctionne. ca marche donc parfois mais pas a tous les coups... bonne semaine, cordialement, XXXXXX XXXXXX	
89	2017-12-02T11:57:21.000+01:00	CLIE	Remboursement	remboursement credit partnair lagarde	bonjour madame le XXXX, j'ai a nouveau voulu rembourser la totalite de mon credit partnair lagarde sur le site du cmb (NNN€) et ca n'a pas fonctionne meme si ca m'a valide l'action dans un premier temps. j'ai essaye avec l'application : meme chose. je vous remercie par consequent de bien vouloir le faire vous-meme. comme il s'agit deja de la Neme fois que je suis obligee de vous le demander, je me dis que cette fonctionnalite n'est pas operationnelle et que ca n'est jamais repare. c'est tout de meme problematique puisque qu'elle existe. pendant ce temps, les interets continuent a courir alors que ce n'est pas le choix du client. alors, est-ce fait expres ou est-ce juste un probleme qui n'a jamais ete regle et ne le sera p-e jamais ? merci et bon week-end, XXXXXX XXXXXX	 est-ce fait expres ou est-ce juste un probleme qui n'a jamais ete regle et ne le sera p-e jamais ? 
90	2017-12-20T10:33:20.000+01:00	CLIE	Virement, Livret	demande de virement	bonjour, pourriez vous faire un virement de N NNN euros du livret cmb de mon epouse XXXXXXX vers le livret bleu de ma mere mme le XXXX renee qui demeure a morlaix (agence du cmb de morlaix) merci	 pourriez vous faire un virement de N NNN euros du livret cmb de mon epouse XXXXXXX vers le livret bleu de ma mere mme le XXXX renee qui demeure a morlaix (agence du cmb de morlaix)
91	2017-12-11T10:32:23.000+01:00	CLIE	Prévi horizons, Documents	re : re: contrat previ horizons	bonjour je vais mettre sous pli un document justifiant de revenus de retraite. merci de la cloture mf XXXXXXX	
92	2017-12-11T10:37:27.000+01:00	CLIE	Virement	virement a l'etranger	bonjour, pour emettre un virement a l'etranger, le site internet me demande un contact avec le conseiller je vous mets un scann en piece jointe pour les donnees du transfert. la somme a vire est de NNNN,NN deux mille euros. et vous demande de me confirmer l'operation et je reste a votre disposition. joyeuses fetes mf XXXXXXX	
92	2017-12-11T10:42:03.000+01:00	CLIE	Virement	virement a l'etranger	suite message precedent , virement a XXXXXXX yohann pour la somme de NNNN,NN€ ci-joint le rib payment details for the wire transfer in eur NN: account with institution: swift code: agriuauk credit agricole bank jsc NN/N, pushkinska str. kyiv, ukraine NN: beneficiary: NNNNPHONEfull name of beneficiary XXXXXXX yohann details of the payment: private transfer	
93	2017-12-20T21:46:29.000+01:00	CLIE	Fonds de compte	decouvert	madame, pourriez vous augmenter mon autorisation de decouvert provisoirement soit jusqu'au NN/NN/NNNN sachant que j'ai une prime au NN/NN/NN de NNN euros en plus de mes deux salaires et du virement de la retraite de mon mari. soit NNNN.NN + NNN + NNN = NNNN.NN euros merci de bien vouloir me repondre au + vite salutations mme XXXXX	 pourriez vous augmenter mon autorisation de decouvert provisoirement soit jusqu'au NN/NN/NNNN sachant que j'ai une prime au NN/NN/NN de NNN euros en plus de mes deux salaires et du virement de la retraite de mon mari. soit NNNN.NN + NNN + NNN = NNNN.NN euros
95	2017-12-21T09:39:54.000+01:00	CLIE	Fonds de compte	pea sortie d'especes	objet : transfert de fonds du compte pea au compte bancaire madame XXXXX bonjour, je fais suite au message que je vous ai laisse, mais nous n'avons toujours pu nous parler. je vous demande de sortir NNN NNN € (deux cent mille €) de mon compte pea n°RIBpour les transferer sur mon compte bancaire n° NPHONENN. bien entendu les prelevements sociaux seront effectues. pouvez-vous faire le necessaire et me dire a partir de quand les fonds seront disponibles sur mon compte bancaire ? merci pour la suite. bien a vous XXXX XXXXX XXXXX NNN bd malesherbes NNNNN paris NN NN NN NN NN	 pouvez-vous faire le necessaire et me dire a partir de quand les fonds seront disponibles sur mon compte bancaire ?
96	2017-12-14T15:10:10.000+01:00	CLIE	Compte de chèque, Livret de chèque	carnet de cheque demande	"bonjour madame XXXXX, je decouvre l'information suivante: ""votre nouveau chequier est a votre disposition dans votre caisse du credit mutuel de bretagne."" j'ai demande de me l'adresser omme a l'accoutumee. pouvez-vous me le faire parvenir a mon domicile NNN bd malesherbes NNNNN paris. merci d'avance. bien a vous. XXXX XXXXX XXXXX PHONEMAIL www.solinnov.fr"	pouvez-vous me le faire parvenir a mon domicile NNN bd malesherbes NNNNN paris.
97	2017-12-14T10:01:22.000+01:00	CLIE	Livret	demande d'entretien	madame XXXXX bonjour, j'espere que tout va bien. j'ai tente a plusieurs reprises de vous joindre et vous ai envoye un mail reste sans reponse. je vous le renvoie car j'aimerais avoir des eclaircissements sur le livret fidelite et les solutions de remplacement. par ailleurs, je souhaite egalement parler du pea. merci pour la suite. bien a vous. XXXX XXXXX XXXXX PHONE________________________________________________________________________ de : XXXX-XXXXX XXXXX solinnov sas [mailto:MAIL] envoye : vendredi N decembre NNNN NN:NN a : XXXXXXXXXX XXXXX (MAIL) objet : livret fidelite importance : haute XXXX XXXXX XXXXX NNN bd malesherbes – NNNNN paris compte cheque cmb n° PHONENN madame XXXXX bonjour, a la suite de votre courrier annoncant la cloture des livrets fidelite, j’ai tente a plusieurs reprises de vous joindre, mais en vain. le livret fidelite a un taux de remuneration tres faible (N,NN%) et un plafond de NN NNN €, j’aimerais savoir : - pourquoi il est supprime - quelles propositions sont faites en remplacement et a quels taux - le grand livret evoque dans votre lettre semble moins remunere que le lf…. vous proposez de vous joindre pour realiser les meilleurs choix, merci de revenir vers moi pour que nous envisagions les differentes possibilites. a tres bientot. bien a vous. XXXX XXXXX XXXXX PHONEMAIL www.solinnov.fr	j'espere que tout va bien. j'ai tente a plusieurs reprises de vous joindre et vous ai envoye un mail reste sans reponse. je vous le renvoie car j'aimerais avoir des eclaircissements sur le livret fidelite et les solutions de remplacement. 
98	2017-12-20T09:00:44.000+01:00	CLIE	Compte de chèque, Remboursement	etalement	bonjour , un mot pour vous informer qu' un cheque de NNN euros correspondant au paiement de notre taxe d'habitation a ete emis le NN de ce mois , je souhaiterai echelonner le remboursement de cette somme via etalis , cordialement , le XXX XXXXXXX	je souhaiterai echelonner le remboursement de cette somme via etalis 
99	2017-12-16T11:20:27.000+01:00	CLIE	Informations	re: echeances de pret.	bonjour, c est long. cordialement XXXXXXX XXXXXXX	
101	2017-12-08T14:38:27.000+01:00	CLIE	Virement	pel	bonjour, je me rend compte que je n'ai pas verse les NNNeuros annuels sur mon pel,et j'aimerai y remedier, hors en essayant de faire un virement de mon lep a mon pel, on me dit que l'action n'est pas autorise, y'a t-il une XXXXXX ? vous remerciant par avance, cordialement, mme XXXXXXXX XXXXXXXX	 je me rend compte que je n'ai pas verse les NNNeuros annuels sur mon pel,et j'aimerai y remedier, hors en essayant de faire un virement de mon lep a mon pel, on me dit que l'action n'est pas autorise, y'a t-il une XXXXXX ? 
101	2017-12-12T15:52:37.000+01:00	CLIE	Virement	re : re: pel	bonjour, je vous ai joins la copie d'ecran. ce qui est etonnant c'est que j'ai bien selectionne le virement du lep au pel, mais qu'apres le montant choisi, ca met en compte a debiter le pel et en compte a crediter le lep, alors que c'est bien l'inverse que j'ai programme. je veux donc bien en effet, que vous vous chargiez du virement de NNN euros pour regulariser. en vous remerciant, cordialement, mme XXXXXXXX XXXXXXXX	je veux donc bien en effet, que vous vous chargiez du virement de NNN euros pour regulariser.
101	2017-12-12T15:54:20.000+01:00	CLIE	Virement	pel	bonjour, je vous ai joins la copie d'ecran. ce qui est etonnant c'est que j'ai bien selectionne du lep au pel, mais qu'apres le montant choisi, ca met en compte a debiter le pel et en compte a crediter le lep, alors que c'est bien l'inverse que j'ai programme. je veux donc bien en effet, que vous vous chargiez du virement de NNN euros. vous remerciant par avance, cordialement, mme XXXXXXXX XXXXXXXX	je veux donc bien en effet, que vous vous chargiez du virement de NNN euros. 
101	2017-12-12T18:32:19.000+01:00	CLIE	Informations	re : re: re : re: pel	bonsoir, merci, je n'avais pas connaissance de cette information. cordialement, mme XXXXXXXX XXXXXXXX 	
102	2017-12-12T12:21:42.000+01:00	CLIE	Epargne logement	plan epargne logement	bonjour, je souhaiterais connaitre les consequences sur les avantages/inconvenients si je retire entre NNNN et NNNN euros de mon pel ? cordialement. XXXXX XXXXXXX.	 je souhaiterais connaitre les consequences sur les avantages/inconvenients si je retire entre NNNN et NNNN euros de mon pel ?
107	2017-12-19T12:01:00.000+01:00	CLIE	Fonds de compte	modification de montant pour virement journalier	monsieur, merci de bien vouloir passer le plafond de mes virements journaliers vers un tiers a NNNN euros par jour, au lieu de NNN euros. bonne journee, cordialement, mme XXXXX	merci de bien vouloir passer le plafond de mes virements journaliers vers un tiers a NNNN euros par jour, au lieu de NNN euros.
108	2017-12-13T14:43:54.000+01:00	CLIE	Prélèvement	opposition bouygue telecom	bonjour madame la directrice, vous prevoyez de debiter mon compte prochainement pour bouygue telecom pour un montant de - NNN,NN € alors que j'ai fait opposition a tout prelevement de sa part ? je vous remercie par avance de faire respecter celle-ci bien cordialement XXXXXX XXXXXX	vous prevoyez de debiter mon compte prochainement pour bouygue telecom pour un montant de - NNN,NN € alors que j'ai fait opposition a tout prelevement de sa part ?
109	2017-12-01T09:35:32.000+01:00	CLIE	Informations	credit	bonjour <<	
110	2017-12-21T10:10:03.000+01:00	CLIE	Prélèvement	information	bonjour. l'argent du pret etant verse sur mon compte, je vais pouvoir regler le probleme cetelem sans tarder consultant les dernieres operations effectuees sur mon compte, j'ai constate une prelevement de NNe intitule frais de commission d’intervention. renseignement pris, cette penalite est appliquee lors d'un depassement du decouvert autorise, ce qui n'etais pas le cas le NN/NN. pourriez vous m'en donner la raison, car j'ignore tout de la mecanique bancaire (mais j'ai decide de m'y interesser) en vous souhaitant de passer de bonnes fetes. cordialement. XXXX XXXXXXXX	 pourriez vous m'en donner la raison, car j'ignore tout de la mecanique bancaire (mais j'ai decide de m'y interesser)
111	2017-12-04T10:53:50.000+01:00	CLIE	Crédit	proposition credit	bonjour. ayant eu connaissance de votre message trop tard pour vous rappeler, je vous envoie ce message. je suis interesse par votre offre de credit. je me tiens a votre disposition si necessaire. en vous remerciant. cordialement XXXX XXXXXXXX	
115	2017-12-29T09:39:55.000+01:00	CLIE	Prélèvement	prelevements	bonjour j ai bien recu votre message je viens de perdre ma maman donc je ne peut pas vous rappeler tout de suite je suis aux cotes de son corp avec ma famille pouvez vous accepter les accepter le compte sera re approvisionnevers le N merci d avance de votres comprehension cordilament	 pouvez vous accepter les accepter le compte sera re approvisionnevers le N
115	2017-12-29T12:35:44.000+01:00	CLIE	Informations	re : re: prelevements	merci de votre comprehension dans c moments tres difficile et douloureux pour moi meme et toutes ma familles en cette periode de fete cordialement 	
116	2017-12-14T13:18:38.000+01:00	CLIE	Compte d’éparge	ouvrir un compte epargne	bonjour, tous mes comptes epargnes sont pleins. que me conseillez vous en epargne disponible? cordialement, XXXXXXXXX XXXXXX	 tous mes comptes epargnes sont pleins. que me conseillez vous en epargne disponible?
116	2017-12-21T18:18:00.000+01:00	CLIE	Livret solidaire	re : re: ouvrir un compte epargne	bonjour, j'ai signe un compromis d'achat le NN decembre. quelle proposition d'emprunt pouvez vous me faire pour un montant de NNN NNN € sur NN ans. je serais a guipry la semaine prochaine. merci de m'ouvrir un livret solidaire des que possible. bonne fete a vous. bien cordialement, XXXXXXXXX XXXXXX ps: j'espere que vous aurez le temps de me faire une proposition de pret avant les fetes.	 merci de m'ouvrir un livret solidaire des que possible.
